Store ID,IP Address
8001,10.13.217.1
8003,10.13.218.1
8004,10.13.219.1
8006,10.13.220.1
8007,10.13.221.1
8009,10.13.222.1
8010,10.13.223.1
8012,10.13.224.1
8014,10.13.225.1
8015,10.13.226.1
8016,10.13.227.1
8018,10.13.229.1
8021,10.13.232.1
8022,10.13.233.1
8025,10.13.235.1
8026,10.13.236.1
8027,10.13.237.1
8028,10.13.238.1
8029,10.13.239.1
8032,10.13.240.1
8033,10.13.241.1
8035,10.13.243.1
8036,10.13.244.1
8037,10.13.245.1
8038,10.13.246.1
8039,10.13.247.1
8040,10.13.248.1
8043,10.13.251.1
8044,10.13.252.1
8045,10.13.253.1
8047,10.13.216.1
8048,10.14.13.1
8049,10.13.149.1
8055,10.14.31.1
8056,10.10.10.1
8059,10.13.209.1
8060,10.13.59.1
8061,10.13.94.1
8064,10.14.30.1
8068,10.18.59.1
8069,10.14.61.1
8070,10.14.91.1
8072,10.14.75.1
8077,10.14.66.1
8078,10.14.67.1
8079,10.14.68.1
8080,10.14.69.1
8082,10.14.71.1
8087,10.10.214.1
8088,10.11.85.1
8089,10.14.243.1
8091,10.14.143.1
8095,10.14.159.1
8096,10.11.254.1
8097,10.14.216.1
8098,10.14.167.1
8101,10.14.137.1
8102,10.14.126.1
8103,10.14.127.1
8104,10.14.128.1
8105,10.14.129.1
8106,10.14.130.1
8107,10.14.131.1
8108,10.14.132.1
8109,10.14.133.1
8110,10.14.221.1
8111,10.14.245.1
8112,10.14.225.1
8114,10.14.171.1
8115,10.14.172.1
8117,10.14.174.1
8118,10.14.175.1
8122,10.14.179.1
8129,10.10.52.1
8136,10.11.95.1
8137,10.14.241.1
8139,10.13.208.1
8142,10.11.217.1
8143,10.10.252.1
8146,10.10.250.1
8148,10.14.231.1
8149,10.14.232.1
8151,10.14.234.1
8152,10.14.235.1
8153,10.14.236.1
8154,10.14.240.1
8161,10.10.151.1
8162,10.14.65.1
8163,10.13.197.1
8165,10.12.18.1
8173,10.10.25.1
8178,10.18.80.1
8179,10.12.0.1
8180,10.14.145.1
8184,10.11.87.1
8195,10.18.79.1
8198,10.18.140.1
8199,10.10.230.1
8202,10.11.212.1
8203,10.12.7.1
8206,10.12.194.1
8208,10.11.127.1
8209,10.10.253.1
8211,10.13.123.1
8212,10.13.142.1
8216,10.10.95.1
8217,10.12.214.1
8218,10.11.11.1
8300,10.18.153.1
8301,10.18.154.1
8302,10.18.155.1
8303,10.18.156.1
8304,10.18.157.1
8305,10.18.158.1
8306,10.18.159.1
8307,10.18.160.1
8308,10.18.161.1
8309,10.18.162.1
8310,10.18.163.1
8312,10.18.164.1
8313,10.18.165.1
8314,10.18.166.1
8315,10.18.167.1
8316,10.18.168.1
8317,10.18.169.1
8318,10.18.170.1
8319,10.18.171.1
8320,10.18.172.1
8321,10.18.173.1
8322,10.18.174.1
8323,10.18.175.1
8324,10.18.176.1
8325,10.18.177.1
8326,10.18.178.1
8328,10.18.179.1
8329,10.18.180.1
8330,10.18.181.1
8331,10.18.182.1
8332,10.18.183.1
8333,10.18.184.1
8334,10.18.185.1
8335,10.18.186.1
8336,10.18.187.1
8337,10.18.188.1
8340,10.18.190.1
8341,10.18.191.1
8342,10.18.192.1
8343,10.18.193.1
8344,10.18.194.1
8345,10.18.195.1
8346,10.18.196.1
8347,10.18.197.1
8348,10.18.198.1
8349,10.18.199.1
8350,10.18.200.1
8351,10.18.201.1
8352,10.18.202.1
8353,10.18.203.1
8354,10.18.204.1
8355,10.18.205.1
8356,10.18.207.1
8357,10.18.208.1
8359,10.18.209.1
8360,10.18.210.1
8361,10.18.211.1
8363,10.18.213.1
8364,10.18.214.1
8366,10.18.216.1
8367,10.18.217.1
8368,10.18.218.1
8369,10.18.219.1
8370,10.18.220.1
8371,10.18.221.1
8372,10.18.222.1
8373,10.18.223.1
